Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   28573.643  45.3    30213.134  47.9      555 CWinThread::PumpMessage(void) (mfc42d.dll)
   22324.721  35.4    22324.792  35.4       12 CPackage::ExportFile(int,struct _iobuf *) (package.obj)
    5535.980   8.8     5535.980   8.8   680464 CDC::GetPixel(int,int) (mfc42d.dll)
    2585.911   4.1     2588.567   4.1        3 CPackage::ExportFile(int,char const *) (package.obj)
    1330.615   2.1    63106.782 100.0        6 CDialog::DoModal(void) (mfc42d.dll)
     726.656   1.2    40464.021  64.1     2281 CWnd::DefWindowProcA(unsigned int,unsigned int,long) (mfc42d.dll)
     593.591   0.9      593.617   0.9        4 CToolTipCtrl::Create(class CWnd *,unsigned long) (mfc42d.dll)
     308.895   0.5      486.578   0.8        4 CWnd::ShowWindow(int) (mfc42d.dll)
     209.742   0.3      209.742   0.3     1208 _inflate_fast (inffast.obj)
     191.697   0.3     5744.430   9.1        3 CBitmapDialog::MakeWindowRgn(void) (bitmapdialog.obj)
     163.984   0.3      166.529   0.3        6 CWnd::DestroyWindow(void) (mfc42d.dll)
     123.657   0.2     2782.268   4.4      566 CDialog::PreTranslateMessage(struct tagMSG *) (mfc42d.dll)
      78.124   0.1      130.294   0.2        3 CDialog::OnOK(void) (mfc42d.dll)
      57.623   0.1       57.670   0.1      449 _crc32@12 (crc32.obj)
      36.857   0.1       36.857   0.1      189 CFile::Write(void const *,unsigned int) (mfc42d.dll)
      26.663   0.0       26.668   0.0        6 DDX_Text(class CDataExchange *,int,double &) (mfc42d.dll)
      19.601   0.0       19.704   0.0      401 CFile::Read(void *,unsigned int) (mfc42d.dll)
      18.285   0.0       18.285   0.0     1805 _inflate_flush (infutil.obj)
      17.954   0.0       18.354   0.0        1 CDialog::OnCancel(void) (mfc42d.dll)
      12.910   0.0       43.714   0.1        2 CDialog::EndDialog(int) (mfc42d.dll)
      12.068   0.0       12.070   0.0        4 CFileHeader::CFileHeader(void) (fileheader.obj)
      10.739   0.0       10.783   0.0        2 CXLauncherDlg::GetVersion(char *,unsigned long &,unsigned long &,unsigned long &,unsigned long &) (xlauncherdlg.obj)
      10.511   0.0       10.511   0.0      990 _huft_build (inftrees.obj)
      10.243   0.0       24.769   0.0       18 CXLauncherDlg::InsertStringToProgressMessageListCtrl(char const *,int) (xlauncherdlg.obj)
       7.388   0.0        7.388   0.0      570 CRgn::CombineRgn(class CRgn *,class CRgn *,int) (mfc42d.dll)
       7.210   0.0    63115.072 100.0        1 AfxWinMain(struct HINSTANCE__ *,struct HINSTANCE__ *,char *,int) (mfc42d.dll)
       6.530   0.0    40468.758  64.1     2509 CWnd::OnWndMsg(unsigned int,unsigned int,long,long *) (mfc42d.dll)
       6.396   0.0      234.363   0.4      774 _inflate_codes (infcodes.obj)
       5.316   0.0        5.316   0.0      573 CRgn::CreateRectRgn(int,int,int,int) (mfc42d.dll)
       5.158   0.0        5.158   0.0       18 CListCtrl::EnsureVisible(int,int) (mfc42d.dll)
       5.096   0.0        5.486   0.0       68 CWnd::WindowFromPoint(struct tagPOINT) (mfc42d.dll)
       3.664   0.0     3240.106   5.1      555 CWinThread::PreTranslateMessage(struct tagMSG *) (mfc42d.dll)
       3.493   0.0        3.493   0.0     1389 operator delete(void *) (mfc42d.dll)
       3.260   0.0        3.610   0.0        6 CWnd::MoveWindow(int,int,int,int,int) (mfc42d.dll)
       3.209   0.0        3.323   0.0       18 CWnd::UpdateWindow(void) (mfc42d.dll)
       2.993   0.0        3.245   0.0       18 CListCtrl::InsertItem(int,char const *) (mfc42d.dll)
       2.877   0.0        2.877   0.0      105 CToolTipCtrl::RelayEvent(struct tagMSG *) (mfc42d.dll)
       2.674   0.0        2.674   0.0        1 CBitmap::LoadBitmapA(unsigned int) (mfc42d.dll)
       2.549   0.0        2.549   0.0       11 CFile::SetStatus(char const *,struct CFileStatus const &) (mfc42d.dll)
       2.444   0.0      258.957   0.4      449 _inflate_blocks (infblock.obj)
       2.294   0.0    40475.040  64.1     2509 CWnd::WindowProc(unsigned int,unsigned int,long) (mfc42d.dll)
       2.205   0.0        2.205   0.0     1370 operator new(unsigned int) (mfc42d.dll)
       2.159   0.0        6.931   0.0     1329 CZipArchive::myfree(void *,void *) (ziparchive.obj)
       1.784   0.0        1.784   0.0      573 CRgn::~CRgn(void) (mfc42d.dll)
       1.747   0.0        1.791   0.0        3 CWnd::SetWindowRgn(struct HRGN__ *,int) (mfc42d.dll)
       1.642   0.0        1.667   0.0       35 CButtonST::DrawTheBitmap(class CDC *,int,struct tagRECT *,class CRect *,int,int) (btnst.obj)
       1.599   0.0        1.599   0.0        2 AfxBeginThread(unsigned int (*)(void *),void *,int,unsigned int,unsigned long,struct _SECURITY_ATTRIBUTES *) (mfc42d.dll)
       1.566   0.0        1.566   0.0        9 CFile::GetStatus(char const *,struct CFileStatus &) (mfc42d.dll)
       1.549   0.0        1.549   0.0        8 CFile::Remove(char const *) (mfc42d.dll)
       1.508   0.0        1.508   0.0     1111 CWinApp::AssertValid(void) (mfc42d.dll)
       1.420   0.0        1.517   0.0       36 CWnd::GetWindowTextA(class CString &) (mfc42d.dll)
       1.394   0.0        2.331   0.0       18 CListCtrl::SetItem(int,int,unsigned int,char const *,int,unsigned int,unsigned int,long) (mfc42d.dll)
       1.340   0.0        1.340   0.0     1329 CPtrList::AddTail(void *) (mfc42d.dll)
       1.297   0.0        1.297   0.0        3 _MakeSureDirectoryPathExists@4 (imagehlp.dll)
       1.272   0.0        1.272   0.0     1329 CPtrList::Find(void *,struct __POSITION *) (mfc42d.dll)
       1.243   0.0        1.243   0.0     1198 CDialog::AssertValid(void) (mfc42d.dll)
       1.242   0.0        1.260   0.0        6 _InternetCloseHandle@4 (wininet.dll)
       1.140   0.0        1.140   0.0     1187 CDialog::GetRuntimeClass(void) (mfc42d.dll)
       0.998   0.0        4.745   0.0       10 CheckExistFile(char const *,int) (package.obj)
       0.988   0.0       20.626   0.0      397 CZipStorage::Read(void *,unsigned long,bool) (zipstorage.obj)
       0.949   0.0        0.954   0.0        1 CToolTipCtrl::AddTool(class CWnd *,char const *,struct tagRECT const *,unsigned int) (mfc42d.dll)
       0.903   0.0        0.903   0.0     1329 CPtrList::RemoveAt(struct __POSITION *) (mfc42d.dll)
       0.901   0.0        7.570   0.0        2 CFTPTransferDlg::OnInitDialog(void) (ftptransferdlg.obj)
       0.893   0.0        4.397   0.0     1329 CZipArchive::myalloc(void *,unsigned int,unsigned int) (ziparchive.obj)
       0.880   0.0      259.838   0.4      449 _inflate@8 (inflate.obj)
       0.839   0.0        0.839   0.0       71 CRect::CRect(struct tagRECT const &) (mfc42d.dll)
       0.789   0.0        0.792   0.0        1 CXLauncherDlg::OnDestroy(void) (xlauncherdlg.obj)
       0.695   0.0        1.442   0.0      224 CWnd::OnNotify(unsigned int,long,long *) (mfc42d.dll)
       0.695   0.0        0.926   0.0        3 CWnd::SetWindowTextA(char const *) (mfc42d.dll)
       0.665   0.0        7.391   0.0       78 CButtonST::OnMouseMove(unsigned int,class CPoint) (btnst.obj)
       0.581   0.0    22332.836  35.4        1 CPackage::PatchXPToXP(char const *) (package.obj)
       0.577   0.0        1.045   0.0        4 CButtonST::SetBitmaps(int,unsigned long,int,unsigned long) (btnst.obj)
       0.574   0.0        0.574   0.0      549 CWinThread::IsIdleMessage(struct tagMSG *) (mfc42d.dll)
       0.561   0.0        0.561   0.0       16 _XRegReadInt(struct HKEY__ *,char const *,char const *,int,int) (xregistry.obj)
       0.542   0.0    37428.691  59.3        1 CXLauncherDlg::OnInitDialog(void) (xlauncherdlg.obj)
       0.529   0.0        0.529   0.0       19 operator new(unsigned int,char const *,int) (mfc42d.dll)
       0.525   0.0     2616.749   4.1      230 CDialog::OnCmdMsg(unsigned int,int,void *,struct AFX_CMDHANDLERINFO *) (mfc42d.dll)
       0.494   0.0        0.494   0.0       11 _XRegReadString(struct HKEY__ *,char const *,char const *,char const *,char *,unsigned long,int) (xregistry.obj)
       0.493   0.0        0.493   0.0        1 CString::LoadStringA(unsigned int) (mfc42d.dll)
       0.486   0.0        0.486   0.0     1653 CXLauncherDlg::GetMessageMap(void) (xlauncherdlg.obj)
       0.485   0.0        0.486   0.0        8 DDX_Text(class CDataExchange *,int,class CString &) (mfc42d.dll)
       0.469   0.0        0.469   0.0       18 CListCtrl::GetItemCount(void) (mfc42d.dll)
       0.456   0.0        0.522   0.0        2 CLabel::CLabel(void) (label.obj)
       0.442   0.0      338.891   0.5      189 CZipArchive::ReadFile(void *,unsigned long) (ziparchive.obj)
       0.433   0.0        0.591   0.0        1 CFTPTransferDlg::CFTPTransferDlg(class CWnd *) (ftptransferdlg.obj)
